text,soft_skills
 Perform his/her financial responsibility duties as reflected in theSBS BF Financial procedures;,['mediation']
 Oversee all financial activities in the Foundation;,"['mediation', 'coordination', 'organization']"
" Monitor level of SBS BF financial expenditures per SBS BF budget lineson a regular basis, analyzing and assessing the financial state of theorganization, as needed;","['mediation', 'coordination', 'instructing']"
 Ensure that donor and SBS BF financial compliance requirements andprocedures are met;,"['communication', 'mediation']"
 Follow on the tax developments and financial reporting requirementsper domestic laws and report to the SBS BF Director in writing if anychanges take place;,"['mediation', 'instructing', 'time management']"
development activities in substance areas ofpriority relevance for the Foundation to meet excellence standards; ,"['mediation', 'service orientation', 'coordination']"
 Contribute to and support the creation of SBS BF accurate and positiveimage vis,"['mediation', 'coordination', 'communication']"
 Design and code automated testing scripts;,['communication']
 Create test plans from requirements and design documents;,"['instructing', 'communication', 'service orientation']"
" Identify, reproduce and report defects;",['mediation']
" Hand over all accounts, books, property and papers to the associationon ceasing to hold office;",['instructing']
 Organize meetings with potential clients;,"['communication', 'coordination', 'mediation']"
" Develop a code of deontology (the study of moral necessity, duty orobligation) for the profession(s) that constitute its membership.","['mediation', 'coordination']"
 Manage the client database;,"['communication', 'coordination', 'service orientation']"
" Prepare reports, analysis of campaigns;",['mediation']
 Hire and supervise staff to ensure maximum efficiency and high qualityperformance;,"['adaptability', 'instructing', 'flexibility']"
" Make recommendations to Chief Executive Director and Managersregarding performance appraisal, salary change, incentives, promotions,transfers or termination;","['mediation', 'communication', 'instructing']"
 Organize internal and external trainings for the staff.,"['instructing', 'coordination', 'communication']"
" Maintain or increase current account production for group, transient(individual);",['mediation']
" Prospect new business through phone solicitation, outside sales calls,customer visits to the hotel, trade shows, sales blitzes, direct mail,newspaper/journal research and other customer interaction or research;","['communication', 'service orientation', 'instructing']"
 Develop a sales plan to generate business from identifiedmarkets/accounts; ,['service orientation']
" Determine the accounts needs, hotels objectives, and marketingactivities of each assigned market/account;","['mediation', 'coordination', 'service orientation']"
 Continuously communicate the benefits of the hotel to the customer;,"['mediation', 'communication', 'service orientation']"
" Drive/manage account transient, group through improved customerloyalty by excellent account management;","['communication', 'mediation', 'coordination']"
" Develop marketing intelligence: new product ideas, competitionactivities, new customer trends and performance;","['adaptability', 'communication']"
 Sell the benefits of the Sales Center/property sales and eventmanagement;,"['mediation', 'coordination']"
 Work with communities to identify potential public works projectswithin parameters set by the project and budget;,"['mediation', 'coordination', 'communication']"
" Evaluate, prepare cost and feasibility analyses of potential projectsand advise partner communities as to their selection;","['instructing', 'mediation', 'adaptability']"
 Prepare and/or evaluate implementation timelines;,"['mediation', 'coordination']"
 Facilitate and oversee procurement of materials; ,"['mediation', 'coordination']"
 Monitor progress of all work within the region of responsibility; planand schedule monitoring reviews in collaboration with partner communitygroups;,"['mediation', 'coordination', 'communication']"
" Approve technical work completion and, together with Finance Director,payment of invoices;","['mediation', 'coordination', 'communication']"
 Oversee performance of Regional Construction Specialists.,"['coordination', 'mediation']"
" Correspondence with ministers; customs agency, tax & social funddepartments, relative banks, other NGO",['mediation']
" Assist the Country Director and Deputy Country Director with thefiling of all applicable, relevant documents;","['coordination', 'mediation', 'communication']"
" Assist with all aspects of logistical and administrative coordinationincluding travel, guesthouse accommodation and service coordination;","['coordination', 'communication', 'mediation']"
" Prepare, translate and distribute letters and documents on the CountryDirectors behalf necessary for program advancement;","['instructing', 'mediation', 'coordination']"
 Provide representatives of community organizations calling or visitingfrom different regions of Armenia with detailed information about CHFInternational and its program activities;,"['mediation', 'communication', 'instructing']"
 File and maintain admin related information;,"['communication', 'mediation', 'coordination']"
" Maintain all office materials, file information as needed;","['instructing', 'communication']"
 Other duties and responsibilities as assigned by various dutiesassigned by senior management team & Finance and Administration Manager.,['coordination']
 Work with communities to identify potential public works projectswithin parameters set by the project and by budget;,"['mediation', 'coordination', 'communication']"
" Evaluate, prepare cost and feasibility analyses of potential projectsand advise partner communities as to their selection;","['instructing', 'mediation', 'adaptability']"
 Prepare and/or evaluate implementation timelines;,"['mediation', 'coordination']"
 Facilitate and oversee procurement of materials; ,"['mediation', 'coordination']"
 Monitor progress of all work within the region of responsibility; planand schedule monitoring reviews in collaboration with partner communitygroups;,"['mediation', 'coordination', 'communication']"
" Approve technical work completion and, together with finance director,payment of invoices.","['instructing', 'coordination', 'mediation']"
" Work directly with target communities, CDCs, local government andlocally based partners to identify, design, implement and sustaining ofpublic works projects;","['instructing', 'communication', 'coordination']"
site technical consultations on community decision,['service orientation']
"makingincluding facilitation of community meetings, community","['organization', 'communication', 'mediation']"
 Liaise with local government and encourage establishment of communitygovernment lines of communication and trust building;,"['communication', 'mediation', 'coordination']"
 Monitor public works projects and provide monitoring guidance to CDCsand relevant local government representatives;,"['instructing', 'communication', 'mediation']"
 Provide support to the vocational training partner and program asneeded.,"['instructing', 'service orientation', 'coordination']"
 Establish overall financial policy and direction in conjunction withCHF Headquarters Finance Department;,"['coordination', 'mediation', 'organization']"
" Plan for the projects financial needs by providing projections,requests for payment, pipeline analyses as necessary to ensureimplementation according to plan and within budget;","['mediation', 'instructing', 'coordination']"
" Build systems to provide for, monitor and enforce policies for allfinancial and administrative activities including: procurement of goodsand services, accounting, administration, and human resources, inconjunction with CHF HQs Finance Department and the Country Director;","['coordination', 'mediation', 'communication']"
" Monitor compliance with USAID procurement, salary and travelregulations related to the activities under contract; ","['mediation', 'coordination', 'communication']"
" Responsible for proper, timely and accurate financial reportingconforming to USAID and CHF regulations;","['mediation', 'instructing', 'coordination']"
 Oversee bookkeeping and administrative staff in main and regionaloffices and conduct regular field visits to verify adherence to allpolicies and defined processes; ,"['instructing', 'mediation', 'coordination']"
 Ensure compliance with USAID Mission of administrative requirementsfor: travel permits; prior authorization for equipment and internationaltravel when needed; waivers of source and origin if necessary;,"['mediation', 'coordination', 'instructing']"
" Organize special assignments to support management of externalcontractual relationships with HQ, auditors and others (research oncompliance, audit, financial reviews, compliance approval, etc.);","['mediation', 'communication', 'coordination']"
 Manage human resources and keep all employee files; ,"['communication', 'stress management']"
" Work with Country Director, Deputy Country Director and all fieldstaff to ensure that an effective, honest team is built, trained andsupported.","['instructing', 'communication', 'coordination']"
"up meetings, interviews and any other logisticalsupport required for the project team visiting the respective country;","['instructing', 'coordination', 'mediation']"
date information on Tacis projects being implemented intheir respective country;,"['service orientation', 'communication', 'instructing']"
" Establish and maintain the contacts with Local Information Providers,Tacis Project Teams, Delegations of the European Commission, EuropaHouses, in other words liaise with the Tacis Programme stakeholders andother possible sources of information. This will be conducive toproviding the project team with first","['mediation', 'coordination', 'communication']"
ordinated inputs and maintain a general overview;,"['mediation', 'coordination', 'communication']"
 Submission of regular progress reports to Team Leader in accordancewith the reporting schedule of the project and as requested by the TeamLeader;,"['mediation', 'coordination', 'organization']"
 Submission to the Contractor of monthly timesheets along with theweekly written report on description of activities on time spent permonth.,['instructing']
 Software development according to requirements;,"['communication', 'mediation', 'instructing']"
 Complete work according to deadlines;,['instructing']
" Present the services, terms and conditions of the company to newcustomers;","['mediation', 'service orientation', 'communication']"
 Process and/or oversee the processing of financial/business forms;,"['mediation', 'coordination', 'communication']"
" Check, correct and maintain a variety of financial and other businessrecords and documents;","['mediation', 'instructing', 'communication']"
 Approve and process requisitions for supplies and equipment;,"['mediation', 'instructing', 'communication']"
" Provide procurement advice and assistance to the external consultants,specialists and co","['coordination', 'mediation', 'communication']"
workers on procurement polices and issues;,"['mediation', 'coordination']"
" Examination and evaluation of the suppliers prospective costestimates or price proposals to determine the necessity, fairness, andreasonableness of proposed contract costs;","['mediation', 'instructing', 'coordination']"
 Assistance in all aspects of company operations to maximise theprofitability of the operation;,"['mediation', 'coordination', 'organization']"
" Assistance in negotiation, acquisition, and delivery of requiredconsumables  and capital itmes;","['mediation', 'coordination', 'communication']"
 Development and implementation of procedures that facilitate theaccurate and efficient. Management and reporting of materials usage;,"['mediation', 'communication', 'coordination']"
" Responsible for foreign and domestic purchasing, storage and usagereporting of consumed materials, and accounting and finance.Development of logic and realization of wirelesscommunication link for high rate, very high frequency (VHF, WiFi) datawireless transfer;","['mediation', 'communication', 'coordination']"
" Selection of the best method for high rate wireless communication link(VHF, WiFi or optical) and realization in electronics for data (signal)transfer that serves the project goals;","['mediation', 'communication', 'service orientation']"
 Realization in a compact design.Development of logic and realization of DSPprocessing for weak high rate signal detection;,"['mediation', 'communication', 'adaptability']"
"highfrequency) signal that serves the project goals, postprocessing;","['communication', 'mediation', 'coordination']"
 Realization in a compact design.Development of logic and realization of a controlsystem for equipment including following applications: organizing inputsand outputs to control various modes and operations; signal management;driver and interface management; working with control software.,"['communication', 'mediation', 'coordination']"
modernization software includingcase management and human resource management;,"['communication', 'mediation', 'stress management']"
 Interview with clients and requirements elicitation;,"['mediation', 'communication', 'coordination']"
 Design and analysis of software applications;,"['communication', 'mediation', 'coordination']"
 Application development using J2EE and Borland Integrated DevelopmentEnvironment;,"['communication', 'mediation', 'coordination']"
 Develop test plans for manual functional testing;,"['monitoring', 'instructing', 'adaptability']"
 Develop test scripts for automated testing;,['monitoring']
" Train clients in the use of developed application.The QA Engineer duties will include black boxtesting following existing test plans and cases, designing new testcases, developing/operating/maintaining automated test suits, andanalyzing defect reports. Depending on your skills you might also beinvolved in more technical aspects of software quality. QA Engineer willwork under general supervision; typically will report to a Senior QAEngineer and higher.Under the overall supervision of the UN ResidentCoordinator, and direct supervision and guidance of the Senior Adviserto the UN RC, the Expert will:","['coordination', 'mediation', 'instructing']"
" Work with the PRSP Expert Group, relevant line ministries and stateagencies to conduct in","['mediation', 'coordination', 'organization']"
 Assess the collected data and identify appropriate MDG localindicators and targets;,"['communication', 'mediation', 'coordination']"
" Draft MDG progress report, addressing both global and most importantlylocal MDG targets and indicators;","['mediation', 'communication', 'coordination']"
" Cooperate with international and local organizations, NGOs, and otherstakeholders in preparing the MDG progress report for Armenia, to ensureparticipatory process;","['mediation', 'coordination', 'instructing']"
" Brief the UN Country Team on regular basis on the status of the MDGprogress report and indicator localization process.The person will be responsible for active directsales, product management, defining and implementing developmentstrategy in the market, organizing and carrying out presentations forthe business community.","['mediation', 'coordination', 'instructing']"
" Answer phone calls, direct incoming calls to the appropriate office orperson as well as arrange outgoing calls; ",['instructing']
 Manage incoming and outgoing correspondence;,"['communication', 'coordination']"
 Provide efficient referral and message services; ,"['communication', 'service orientation', 'mediation']"
" Provide general information about the Eurasia Foundation, its programsand application procedures; ","['mediation', 'communication', 'coordination']"
 Ensure availability of EF application forms and program relateddocuments; ,"['mediation', 'communication', 'coordination']"
 Provide administrative support to the EF Armenia Office.,"['coordination', 'mediation', 'service orientation']"
 Draft and exploit automated system of budget and calculation ofstrategic plans;,"['mediation', 'coordination', 'communication']"
 Develop and exploit a system of evaluating methods of banking activityeffectiveness;,"['mediation', 'communication', 'instructing']"
 Develop and exploit risk evaluation system (stress,"['stress management', 'adaptability', 'communication']"
" Answer incoming calls, responsible for the 1st level customer care;","['service orientation', 'instructing', 'communication']"
 Payment and debt administration;,['mediation']
" Maintain a high degree of integrity in all activities and at alltimes, and express and act upon a cogent vision of REC Caucasuspriorities and initiatives, demonstrating positive leadership qualitiesboth within and outside REC Caucasus; ","['mediation', 'instructing', 'coordination']"
 Participate in fundraising for the strategic objective; ,"['coordination', 'mediation']"
 Provide inputs to other initiatives of REC Caucasus; ,['mediation']
 Guide the development of electronic and other communications productsfor the area; ,"['mediation', 'communication', 'coordination']"
" Maintain liaison with Board members on any aspect of projectactivities, or on other topics appropriate to the individual'sexpertise; ","['instructing', 'mediation']"
" Expend project funds within the agreed upon parameters of the plan,and to negotiate and recommend contracts of undertakings, in cooperationwith REC Caucasus's administration; ","['mediation', 'coordination', 'instructing']"
 Monitor and evaluate the plan so that corrective action can be takenin a timely fashion; ,"['complex problem solving', 'adaptability', 'critical thinking']"
" Maintain strategic objective area records, providing periodic updatesand other reports, and contribution to annual reports and othercorporate publications; ","['mediation', 'communication', 'coordination']"
" Manage program staff effectively within REC Caucasus's policies andprocedures, including recruitment, motivation, supervision, staffevaluation, and the conduct of work by consultants and others; organizeor participate in meetings and events sponsored by REC Caucasus andothers; ","['mediation', 'coordination', 'communication']"
 Cooperate with department Heads and branch offices of REC Caucasus; ,"['coordination', 'mediation']"
term strategies agreed upon by the Board; ,['mediation']
 Implement other tasks as mandated by the Management.,"['mediation', 'coordination']"
" Develop short, mid and long term strategy and policy of REC Caucasuson water related activities consistent to the aims and the mission ofREC Caucasus, on regional, national and local levels; ","['mediation', 'coordination', 'communication']"
 Define aims and objectives of the overall water programme; ,"['coordination', 'mediation', 'communication']"
 Provide periodic updates and reports; ,['communication']
 Contribute to annual reports and other corporate publications; ,"['mediation', 'communication', 'organization']"
 Establish working relations with regional stakeholders;,"['coordination', 'communication', 'mediation']"
 Facilitate information and experience exchange between water expertsworking in the region; ,"['mediation', 'communication', 'coordination']"
" Manage project staff effectively within REC Caucasus's policies andprocedures, participate in the recruitment, supervision and staffevaluation processes; ","['coordination', 'mediation', 'organization']"
 Coordinate activities with other programmes of REC Caucasus; ,"['coordination', 'mediation']"
" Prepare proposals and expand project funds within the agreed uponparameters of the plan, and negotiate and recommend contracts ofundertakings, in cooperation with REC Caucasus's Administration; ","['mediation', 'coordination', 'instructing']"
 Implement other tasks upon request of the Executive Director.,"['coordination', 'mediation', 'instructing']"
 Support Executive Director in all operational activities;,"['coordination', 'mediation', 'organization']"
" Assistance in all matters, e.g. planning, implementation, reporting,etc;",['mediation']
" Draft and prepare correspondence, reports, evaluations andjustifications on general admin. or specialised tasks which may be of aconfidential nature within the assigned area of responsibilities;","['instructing', 'mediation', 'communication']"
 Deal with all correspondence related to ED office;,['mediation']
 Schedule appointments and meetings for the Executive Director;,"['coordination', 'mediation', 'communication']"
" Maintain the daily, weekly and monthly schedule for the ED;","['coordination', 'mediation', 'service orientation']"
 Assist the Executive Director in preparing presentations andproposals;,"['coordination', 'mediation']"
" Schedule and arrange meetings as appropriate with communityrepresentatives, government officials, other stakeholders;","['mediation', 'coordination', 'instructing']"
"day administrativematters, participate in discussions of new or revised procedures andpractices, make recommendation for follow",['instructing']
 Coordination with the Head of Finance and Administration Department ingeneral administrative issues;,"['mediation', 'coordination', 'organization']"
" Information collection, processing, systematization and filing;","['mediation', 'communication', 'coordination']"
base development and maintenance; ,"['service orientation', 'communication', 'mediation']"
 Participation in development and production of publications; ,"['mediation', 'coordination']"
 Assistance to other programmes and projects in obtaining requiredinformation; ,"['mediation', 'instructing', 'coordination']"
" Liaison with donors, international agencies,  media, NGOs and otherstakeholders; ","['mediation', 'coordination']"
 Manage Armex automated trading system on a daily basis;,"['service orientation', 'monitoring']"
 Perform other job related tasks as assigned.,['instructing']
 Identification of education specialists/consultants within thetraining community;,"['mediation', 'communication', 'coordination']"
" Coordinate with staff and Peace Corps Resource Volunteers, and thedesign of an integrated technical training program for EE Volunteers.","['coordination', 'service orientation', 'mediation']"
 Design and implementation of an integrated technical training programfor CBD Volunteers;,"['mediation', 'communication', 'coordination']"
 Coordinate with staff and Peace Corps Resource Volunteers;,['coordination']
 Identification of training specialists/consultants within the trainingcommunity.,"['mediation', 'coordination', 'communication']"
 Gather and produce requirements and designs.,"['instructing', 'adaptability', 'communication']"
 Write and test code for the required product;,"['instructing', 'service orientation', 'communication']"
 Accurately plan software development activities and follow establishedprocesses;,"['communication', 'instructing', 'coordination']"
" Share knowledge, mentor peers, listen and heas team members positionsand provide a fair evaluation of differing opinions;","['instructing', 'communication', 'professionalism']"
 Work productively as part of a software development team;,"['organization', 'mediation']"
 Communicate effectively with management and with team members;,"['coordination', 'communication', 'mediation']"
 Actively participate in discussions regarding technical issues.,"['mediation', 'complex problem solving', 'active listening']"
 Manage human resource issues including the personnel files;,"['communication', 'mediation', 'coordination']"
" Distribution and maintenance of office correspondence, registerincoming and outgoing correspondence;","['mediation', 'communication', 'coordination']"
 Assist the General Director.,['coordination']
" To producing high quality, well documented code, with low turnaround.",['adaptability']
 Provide technical input into the Applied arts development and sheepbreeding program ,"['communication', 'instructing', 'coordination']"
" Promote active involvement on policy, research, advocacy and lobbyingof program participants for a wider impact related to the programme;","['mediation', 'coordination', 'communication']"
"96 Executive director to implement Appliedarts development and sheep breeding program, develop and maintain goodrelations within local partners and governmental officials;","['coordination', 'communication', 'organization']"
" Prepare monthly, quarterly and annual reports in cooperation withlocal partners;","['coordination', 'mediation']"
 Ensure that program activities are implemented according to agreedstandards and incorporate technical advice from Oxfam GB;,"['instructing', 'communication', 'service orientation']"
 Ensure that program funds are managed in a responsible and accountableway in accordance with established financial procedures at the projectlevel;OTHERS,"['mediation', 'service orientation', 'instructing']"
" Ensure that all program activities are sensitive towards genderequality and diversity, and that the program is participatory inapproach and non","['communication', 'instructing', 'mediation']"
" Define, maintain, oversee and enforce engineering processes;","['coordination', 'communication', 'mediation']"
 Provide project leadership for key projects;,"['communication', 'coordination']"
 Train and mentor project leaders;,"['coordination', 'communication', 'organization']"
 Support senior staff in overall program administration;,"['coordination', 'organization', 'service orientation']"
 Work with program participants on program related issues;,"['coordination', 'mediation', 'communication']"
 Maintain program databases and files; ,['communication']
 Assist in program monitoring and evaluation.,"['coordination', 'monitoring', 'mediation']"
 Plan and execute preventive maintenance;,"['coordination', 'mediation']"
 Control and optimize operational expenses;,"['communication', 'coordination', 'mediation']"
 Develop a comprehensive curriculum plan and language materials tocover every knowledge level;,"['instructing', 'communication', 'adaptability']"
 Conduct language classes.,['instructing']
 Develope and cunduct course accmoplishment grading tests.Keyword research and copywriting: ,"['instructing', 'communication', 'coordination']"
 Pull numbers from various reporting tools and sources;,"['instructing', 'communication', 'mediation']"
 Define appropriate views on data and key metrics reporting;,"['monitoring', 'communication']"
 Regular monitoring and analysis of data.Research: ,"['monitoring', 'communication', 'coordination']"
" Market analysis and competitor analysis regarding SEO aspect viamultiple channels (e.g. Nielsen market data, search engine visibility,etc.).",['communication']
 First of all you will have to learn and understand the AdServingtechnology (DART Enterprise) and its functionality. You should thenunderstand the surrounding systems and the system architecture as itmaps to our business needs;,"['instructing', 'communication', 'adaptability']"
 You will become an expert in customising and integrating the AdServersoftware. You will be our expert regarding the architecture andfunctionality of our AdServer system and will have an excellentunderstanding of its technical capabilities;,"['instructing', 'communication', 'mediation']"
 You will be our technical key contact person for complex technicalprojects which require technical experience and a strong and variedknowledge. For those project you will be the technical project manager.,"['complex problem solving', 'time management', 'instructing']"
 Translation of product news and preparation of customer communication.,"['communication', 'mediation', 'coordination']"
"site).Warehouse management, controlling and checking,record","['instructing', 'active listening', 'communication']"
 Provide leadership and support to the program staff of theorganization;,"['coordination', 'mediation', 'communication']"
" Develop and implement program policies, systems and procedures;","['communication', 'mediation', 'coordination']"
" Oversee the program operations and ensure effective implementation ofsustainable, high quality microfinance services.","['service orientation', 'communication', 'coordination']"
 Coordinate the drivers work;,"['coordination', 'communication', 'mediation']"
 Registration and distribution of office incoming and outgoingcorrespondence;,"['mediation', 'coordination', 'communication']"
" Draft correspondence, reports and other documents as assigned;",['mediation']
 Coordination with the Administration Department on generaladministrative issues;,"['coordination', 'mediation', 'communication']"
" Assist in preparing various financial reports, payroll calculation;","['mediation', 'coordination']"
" Assistance in checking, correction and maintenance of a variety offinancial and other business records and documents;","['mediation', 'instructing', 'communication']"
 Assistance in preparing various financial or administrative reports;,"['mediation', 'instructing']"
 Preparation of requisitions for material supplies and equipment;,"['mediation', 'instructing', 'coordination']"
" Plan, analyze, configure, troubleshoot and support central computersystems;","['communication', 'coordination', 'mediation']"
 Design and implementation of UNIX infrastructure;,"['communication', 'coordination', 'mediation']"
" Unix systems administration, backup etc., systems maintenance,applications maintenance;","['communication', 'service orientation', 'instructing']"
" Troubleshoot, development and protection of organization computersystems (external and internal);",['mediation']
 Installation and operation of system administration software andequipment;,"['mediation', 'communication', 'coordination']"
" Performance and security analysis, suggestions on action planning.","['coordination', 'instructing', 'mediation']"
 Ensure thorough management of the project implementation;,"['mediation', 'coordination', 'communication']"
" Organize and supervise daily activities of the project personnel,national experts and subcontractors (including development of Terms ofReferences);","['mediation', 'coordination', 'organization']"
 Develop annual and quarterly work plan and other project relevantdocuments;,"['coordination', 'communication', 'organization']"
 Manage financial input delivery and ensure planned outputs as perproject document and the work plan;,"['communication', 'coordination', 'instructing']"
 Ensure that expected project outputs are in line with specific projectcriteria/requirements and are achieved on due time;,"['service orientation', 'communication']"
effective procurement of equipment and othermaterials in accordance with UNDP rules and procedures;,"['mediation', 'coordination', 'instructing']"
 Ensure that project budget delivery is under supervision of theNational Project Coordinator;,"['coordination', 'communication', 'organization']"
" Provide regular reporting on progress, according to procedures ofProject Executing and Implementing agencies;","['instructing', 'coordination', 'mediation']"
 Perform other relevant duties as per request of the National ProjectCoordinator.,['mediation']
 Control of RACB normatives and the accordance to internal economicalacts;,"['mediation', 'coordination', 'communication']"
 Develop supervision methodology.,"['coordination', 'instructing', 'communication']"
" Assistance in administration of grants procedures includingdocumentation preparation and review, cash flow and capital budgetanalyses prior to submission to Planning Committee;","['mediation', 'coordination', 'instructing']"
 Assistance in administration and monitoring the progress of grants andgrant project related achievements;,"['mediation', 'coordination', 'organization']"
 Assistance in preparation and presentation of financial trainingmaterials; ,"['mediation', 'coordination']"
 Proactive advice and support to other team members and client firms inthe preparation of business plans and financial strategies;,"['instructing', 'mediation', 'organization']"
 Close flight in coordination with the ramp agent/load controller andhandling agent and provide the necessary data to the load controller;,"['coordination', 'mediation', 'service orientation']"
" During passenger boarding, assist handling agent and authorities;","['mediation', 'instructing', 'coordination']"
 Perform all lost and found duties when luggage is missing and performall tracings.,['instructing']
 Elaboration of annual Marketing and PR budget;,"['coordination', 'mediation']"
" Design, implementation and monitoring of specific action plan based onthe corporate Marketing and PR strategy, including but not limited to:  ","['communication', 'mediation', 'coordination']"
 Planning of Ameria's annual Marketing and PR event calendar;,['coordination']
" Elaboration, editing, formatting of PR materials, coordination ofoverall design, printing, publishing and development works;","['communication', 'instructing', 'mediation']"
" Overseeing preparation of TV and Radio commercials, preparation ofdetailed placement plan, negotiations with selected TV and radiocompanies and placement of the commercial materials in accordance withthe agreed plan; ","['mediation', 'coordination', 'communication']"
" Coordination of overall design works, drafting and preparation ofcompany memorabilia, coordination of the company's activities withsubcontractors (designers, printing houses, advertising agencies, etc.),distribution of the materials;  ","['mediation', 'coordination', 'instructing']"
" Preparation of company profiles, partners bio's and other relatedmaterials for further distribution to partners and clients; ","['mediation', 'communication', 'instructing']"
" Drafting, editing, coordination of translation of company web","['communication', 'mediation', 'coordination']"
"sitecontent materials, selection of the sub",['mediation']
contractors and overseeingweb,"['mediation', 'coordination', 'instructing']"
"design, maintenance and content update;","['communication', 'adaptability', 'service orientation']"
" Elaboration of press releases, articles, and news releases about thecompany activities; ","['mediation', 'communication', 'active listening']"
" Constant coordination with local media and monitoring of pressinformation, programs, as well as media monitoring to ensure properplacement and implementation of agreed strategies; ","['mediation', 'communication', 'instructing']"
" Updating company information in various public and private registersand databases, directories, reference books;","['communication', 'mediation', 'instructing']"
 Other activities outlined by PR and Marketing strategy.Hiring:,"['coordination', 'communication', 'mediation']"
" Actively participate in the hiring process with human resources andhiring team, using and championing the established process;","['mediation', 'coordination', 'instructing']"
" Maintain external relationships with candidate sources (universities,etc.).Performance Management:","['coordination', 'communication', 'mediation']"
 Manage performance through the CQG performance management system;,"['communication', 'coordination', 'service orientation']"
 Mentor developers from both technical and non,"['mediation', 'communication', 'instructing']"
 Manage the Integration Process.Training:,['coordination']
 Initiate and coordinate training for employees;,"['coordination', 'instructing', 'communication']"
 Contribute to training design;,['instructing']
 Allocate the most appropriate resources correctly from a people andproject perspective;,"['instructing', 'communication', 'mediation']"
 Manage the productivity of people resources  keep everyone busy;,"['stress management', 'instructing', 'communication']"
" Create a spirit of camaraderie, excitement and excellence throughoutthe resource team;","['communication', 'coordination', 'professionalism']"
" Provide an environment and infrastructure for people to be effective;include ensuring software, hardware and furniture needs are attendedto;","['communication', 'service orientation', 'adaptability']"
 Resolve conflicts between developers and project managers.,"['communication', 'complex problem solving', 'coordination']"
 Actively support the quality improvement process;,"['mediation', 'communication', 'service orientation']"
 Assist in identifying and implementing a successful marketing plan forassigned outlets;,"['instructing', 'mediation', 'service orientation']"
 Assist in ensuring that scheduling functions are performed accuratelyand on a timely basis;,"['service orientation', 'instructing', 'mediation']"
 Register and distribute office incoming and outgoing correspondence;,"['communication', 'mediation', 'coordination']"
" Draft correspondence, reports and other documents as assigned;",['mediation']
 Other tasks assigned by the management.,['coordination']
 Develop the Terms of Reference of the Mine Action Public AwarenessCampaign; ,"['mediation', 'coordination']"
 Set up and actively work with national and international partners toidentify main aspects the Campaign should focus on;,"['coordination', 'instructing', 'communication']"
 Elaborate the detailed mechanisms and develop the work plan of theCampaign having in mind recommendations provided by national andinternational partners;,"['mediation', 'coordination', 'instructing']"
" Implement activities and initiatives as per the work plan on theCampaign that include in particular: arranging and facilitating theproduction of informative printed and audio/video materials; compiling,summarizing, digesting communication and other promotion and advocacymaterials for use by media;","['mediation', 'communication', 'instructing']"
" Monitor the implementation process and evaluate the success, ifneeded.","['mediation', 'coordination', 'communication']"
" Collation, analysis and reporting of data from multiple sources;","['mediation', 'communication', 'coordination']"
" Carry out needs assessments, feasibility studies;",['instructing']
 Interpret the analytical results;,"['mediation', 'coordination', 'communication']"
" Transform research results into comprehensive analytical reports, dataflow diagrams, and technical specifications;","['communication', 'mediation', 'instructing']"
 Design data specification and documentation for software developers.,"['communication', 'service orientation', 'instructing']"
 Translate design requirements and specifications into robustimplementations;,"['communication', 'mediation', 'instructing']"
"type, develop and manage the technical aspects of thesoftware; ","['communication', 'mediation', 'instructing']"
 Perform the assigned tasks in the precise and timely manner; ,"['coordination', 'mediation', 'instructing']"
" Perform quality assurance tasks, such as testing of the softwareproducts (developers testing);",['mediation']
 Translate design requirements and specifications into robustimplementations;,"['communication', 'mediation', 'instructing']"
"type, develop and manage the technical aspects of thesoftware; ","['communication', 'mediation', 'instructing']"
 Perform the assigned tasks in the precise and timely manner; ,"['coordination', 'mediation', 'instructing']"
" Perform quality assurance tasks, such as testing of the softwareproducts (developers testing);",['mediation']
" Document the software products that will be produced.The duties of this position include but are notlimited to performing Quality Assurance support for and testing of theIT application of the company to include the formulation and executionof test procedures and the documentation of test results. The applicantwill be responsible for writing and verifying test cases and scenarios,test plans and other documentation that supports the QA portion of thesoftware life cycle.","['mediation', 'instructing', 'communication']"
 Work independently with the aim of creating a test environment;,"['mediation', 'coordination', 'instructing']"
 Create and maintain test definitions and specifications;,"['communication', 'adaptability', 'mediation']"
 Automate test procedures and write test automation scripts;,['communication']
 Analyze software performance and report data metrics;,"['communication', 'monitoring']"
" Debug, analyze and fix application problems/issues.",['complex problem solving']
" Create, manage and update project plans, communication plans,requirements matrices, resource requirements, and all other projectrelated documentation; ","['communication', 'instructing', 'coordination']"
" Work with internal groups to determine overall project timeline, andresource availability;","['coordination', 'mediation', 'adaptability']"
 Supervise the design and implementation phases;,"['coordination', 'mediation', 'communication']"
" Supervise personnel involved in the design of the project and monitorthe actual project design. This will include ensuring the applicationdevelopment, testing and review processes, and service requirementsgoals are met;","['instructing', 'mediation', 'communication']"
" Schedule, conduct and document project review meetings and meetestablished deadlines;","['mediation', 'coordination', 'communication']"
 Translate design requirements and specifications into robustimplementations;,"['communication', 'mediation', 'instructing']"
"type, develop and manage the technical aspects of thesoftware; ","['communication', 'mediation', 'instructing']"
 Perform the assigned tasks in the precise and timely manner; ,"['coordination', 'mediation', 'instructing']"
" Perform quality assurance tasks, such as testing of the softwareproducts (developers testing);",['mediation']
" Translate materials of both general and medical/health nature to/fromEnglish, Armenian, and Russian;","['mediation', 'communication', 'coordination']"
" Coordinate transportation, set meetings, arrange for tickets and serveas a translator and cultural informant;","['coordination', 'instructing', 'service orientation']"
